NRS_CODE,STATION,SAMPLE_DATE_UTC,T_COP_ABUN_M3,COP_AVG_MM,HERB_CARN_RAT,COPES_SAMPLES,COPE_DIVERSITY,COPE_EVEN,CARBON_MGM3
NIN20120226,NIN,26/2/12 1:54,6153.1937,0.68647,0.942,37,201.63993,55.84174,8.4829
NIN20120509,NIN,9/5/12 2:50,1329.656,0.79662,0.98,29,124.56367,36.9922,8.3492
NIN20120827,NIN,27/8/12 0:05,5369.5449,0.63323,0.933,48,211.10396,54.5319,6.5894
NIN20121107,NIN,7/11/12 4:00,2497.6507,0.69062,0.949,27,149.13549,45.24966,2.6185
NIN20130209,NIN,9/2/13 1:22,8642.7613,0.69474,0.988,42,259.76632,69.49954,16.094
NIN20130509,NIN,9/5/13 2:20,2928.0706,0.75862,0.977,50,366.84411,93.77351,4.2286
NIN20130806,NIN,6/8/13 6:03,2932.7868,0.67759,0.955,42,287.78369,76.99549,8.566
NSI20080929,NSI,29/9/08 0:30,768.3449,1.07908,0.908,48,276.15252,71.3351,4.1803
NSI20081030,NSI,30/10/08 0:30,2694.0313,0.76715,0.974,32,126.41602,36.47595,3.9678
NSI20081119,NSI,19/11/08 0:30,756.5572,0.93786,0.885,42,428.11036,114.53938,2.3245
NSI20081217,NSI,17/12/08 1:00,2600.8007,0.80336,0.931,36,296.17507,82.64923,10.6567
NSI20090114,NSI,14/1/09 0:30,1736.0104,0.80034,0.901,35,276.88483,77.8784,6.0834
NSI20090218,NSI,18/2/09 0:30,2446.4886,0.8282,0.942,38,280.40463,77.08536,5.2312
NSI20090318,NSI,18/3/09 0:30,877.6494,0.81599,0.94,34,223.44575,63.36441,3.5121
NSI20090416,NSI,16/4/09 0:30,742.6265,0.73449,0.892,34,224.24216,63.59025,3.2501
NSI20090527,NSI,27/5/09 2:03,1602.0592,0.73717,0.962,38,271.20974,74.55761,3.5454
NSI20090618,NSI,18/6/09 3:30,1980.3376,0.76521,0.928,39,242.19775,66.10991,7.6004
NSI20090720,NSI,20/7/09 1:07,1761.729,0.6838,0.977,35,232.39599,65.36519,14.9343
NSI20090819,NSI,19/8/09 22:45,1205.5623,0.72764,0.968,38,269.41424,74.06402,17.1312
NSI20090916,NSI,16/9/09 22:30,27.2311,0.7322,0.987,36,252.92971,70.58138,4.8953
NSI20091006,NSI,6/10/09 23:07,1350.2301,0.80039,0.939,33,239.96159,68.62893,12.4583
NSI20091015,NSI,15/10/09 0:10,1549.5497,0.76977,0.966,43,284.0808,75.5293,9.4263
NSI20091021,NSI,21/10/09 23:20,1059.8233,0.77914,0.953,38,321.21648,88.30484,6.1545
NSI20091101,NSI,1/11/09 23:02,1713.5061,0.70818,0.929,45,284.02502,74.61261,4.8953
NSI20091115,NSI,15/11/09 22:20,1835.6702,0.84963,0.957,40,311.8904,84.54882,10.1358
NSI20091215,NSI,15/12/09 23:00,5863.8584,0.42713,0.998,27,94.81859,28.7692,8.2645
NSI20100121,NSI,21/1/10 23:50,1906.3968,0.71524,0.968,38,210.02589,57.73771,10.8962
NSI20100214,NSI,14/2/10 23:30,1430.6006,0.70472,0.967,41,257.53563,69.34984,12.4436
NSI20100322,NSI,22/3/10 23:15,3388.436,0.7647,0.959,49,194.24129,49.91014,13.5926
NSI20100411,NSI,11/4/10 22:35,1372.734,0.73519,0.925,49,305.28241,78.44206,5.5214
NSI20100520,NSI,20/5/10 22:21,2382.192,0.71463,0.934,48,246.94887,63.79128,5.1165
NSI20100618,NSI,18/6/10 2:30,2986.5809,0.75138,0.957,44,232.00101,61.30798,7.0121
